time_s,amcl_x,amcl_y,left_velocity_cmd,right_velocity_cmd,real_left_velocity,real_right_velocity,voltage
60.5,0.0175,0.0008,0.0822,-0.1806,0.0000,-0.1755,50.9744
61.0,0.0369,0.0043,0.1054,-0.1975,0.0000,-0.1755,50.9438
61.5,0.0612,0.0113,0.1062,-0.1741,-0.0076,-0.1373,50.9284
62.0,0.0828,0.0196,0.1040,-0.1493,-0.0076,-0.1373,50.9438
62.5,0.0986,0.0282,0.1135,-0.1395,-0.0076,-0.1373,50.9897
63.0,0.1162,0.0391,0.1305,-0.1383,0.0229,-0.1678,51.0050
63.5,0.1327,0.0529,0.1669,-0.1490,0.0229,-0.1678,50.9438
64.0,0.1524,0.0757,0.1661,-0.1313,0.0000,-0.1221,50.9591
64.5,0.1524,0.0757,0.1392,-0.1045,0.0000,-0.1221,50.9897
65.0,0.1750,0.1082,0.1646,-0.1176,0.1297,-0.1450,50.9591
65.5,0.1750,0.1082,0.2419,-0.1717,0.1907,-0.1831,51.0050
66.0,0.1750,0.1082,0.3133,-0.2303,0.2899,-0.1907,50.8366
66.5,0.2407,0.2078,0.3883,-0.3257,0.4044,-0.2518,50.9897
67.0,0.2932,0.2705,0.4305,-0.4175,0.4730,-0.3128,50.9284
67.5,0.3803,0.3530,0.4554,-0.5120,0.4807,-0.4654,51.0050
68.0,0.4928,0.4492,0.5251,-0.5933,0.5112,-0.6027,51.0050
68.5,0.6024,0.5485,0.6597,-0.6459,0.5722,-0.6714,50.9744
69.0,0.7188,0.6695,0.6730,-0.7535,0.6714,-0.7401,50.9744
69.5,0.8164,0.7794,0.7132,-0.8880,0.7324,-0.8621,50.9897
70.0,0.9968,1.0242,0.7499,-1.0190,0.7629,-0.9918,50.9284
70.5,1.0662,1.1452,0.8006,-1.1110,0.7401,-1.1215,51.0050
71.0,1.1596,1.4313,0.9188,-1.1346,0.8621,-1.1826,50.9284
71.5,1.1764,1.7753,1.0426,-1.1640,0.9918,-1.1597,50.8978
72.0,1.1508,2.0193,1.1589,-1.1864,1.1444,-1.1978,51.0662
72.5,1.1028,2.4092,1.2969,-1.2301,1.3046,-1.2131,51.0050
73.0,1.0963,2.6993,1.3591,-1.3440,1.4267,-1.2741,50.9591
73.5,1.1067,3.1777,1.3967,-1.4755,1.4038,-1.3962,50.9744
74.0,1.1175,3.5021,1.4676,-1.5355,1.4420,-1.5717,50.9897
74.5,1.1069,4.0047,1.4420,-1.4346,1.5106,-1.5793,50.9744
75.0,1.0727,4.3612,1.4569,-1.3838,1.4648,-1.4038,50.9591
75.5,1.0604,4.8627,1.2150,-1.1263,1.3962,-1.2360,50.9897
76.0,1.0849,5.1528,0.7778,-0.6477,1.0147,-0.8011,50.9591
76.5,1.1210,5.3810,0.3371,-0.1687,0.5875,-0.4272,50.9744
77.0,1.1869,5.5836,0.0981,0.0981,0.3586,-0.1984,50.9744
77.5,1.2069,5.6147,0.1259,0.1259,0.3128,0.0153,50.9897
78.0,1.2370,5.6482,0.1384,0.1384,0.3128,0.0153,50.9897
78.5,1.2608,5.6580,0.1409,0.1409,0.0763,0.1450,51.0050
79.0,1.2611,5.6421,0.1417,0.1417,0.0458,0.1602,50.9591
79.5,1.2611,5.6216,0.1437,0.1437,0.0458,0.1602,50.8672
80.0,1.2465,5.6161,0.1114,0.1114,0.0610,0.1526,51.0050
80.5,1.2405,5.6034,0.0642,0.0642,0.0610,0.1450,51.0356
81.0,1.2291,5.5942,0.0171,0.0171,0.0839,0.1068,50.9897
