time_s,amcl_x,amcl_y,amcl_qz,amcl_qw,filtered_vx,filtered_wz,left_velocity (rps),right_velocity (rps),left_rps,right_rps,voltage
0,6.1556,0.5301,0.0097,1,0,-0.0011,0,0,0,0,51.0356
0.5,6.1556,0.5301,0.0097,1,0,-0.0022,0.0189,0.0189,0,0,51.0203
1,6.1556,0.5301,0.0097,1,0.001,0,0.0612,0.0612,0.0076,0,51.0815
1.5,6.1556,0.5301,0.0097,1,0.0018,-0.0044,0.0612,0.0612,0,0,50.9744
2,6.1556,0.5301,0.0097,1,0.0058,-0.0778,0.0871,0.0871,0.0458,0.0076,51.0509
2.5,6.1556,0.5301,0.0097,1,-0.0033,-0.2256,0.1281,0.1281,0.0687,0.0916,51.005
3,6.2038,0.529,-0.0508,0.9987,-0.0104,-0.5011,0.1753,0.1753,0.1678,0.206,51.0203
3.5,6.2272,0.5314,-0.2492,0.9685,-0.0104,-0.5978,0.1886,0.1886,0.2136,0.2289,51.005
4,6.2401,0.5315,-0.3611,0.9325,-0.0022,-0.5767,0.1886,0.1886,0.206,0.2289,51.0662
4.5,6.2479,0.5305,-0.4588,0.8885,0.0032,-0.5133,0.1886,0.1886,0.2136,0.1831,50.9897
5,6.2404,0.5286,-0.605,0.7963,0.0068,-0.4789,0.1886,0.1886,0.1984,0.1602,51.0356
5.5,6.241,0.5275,-0.6573,0.7536,0.0052,-0.4944,0.1886,0.1886,0.1755,0.1831,50.9897
6,6.2691,0.5434,-0.767,0.6417,0.0047,-0.5122,0.1886,0.1886,0.1984,0.1755,51.0662
6.5,6.2599,0.5222,-0.833,0.5533,0.0032,-0.5644,0.1886,0.1886,0.2166,0.1984,51.0509
7,6.2599,0.5217,-0.9038,0.4279,0.0035,-0.5044,0.2301,0.1377,0.1831,0.1907,51.0509
7.5,6.2569,0.5112,-0.9328,0.3604,0.0243,-0.4589,0.2645,0.009,0.2594,0.0839,51.0203
8,6.236,0.5079,-0.9772,0.2125,0.0758,-0.3811,0.3028,-0.1237,0.3281,-0.0305,51.005
8.5,6.2153,0.4998,-0.9873,0.1587,0.1166,-0.2722,0.333,-0.2482,0.3738,-0.1602,51.0203
9,6.1679,0.4786,-0.9953,0.0969,0.1736,-0.1044,0.4184,-0.3778,0.4272,-0.3357,51.1121
9.5,6.0564,0.465,-0.9988,0.0493,0.243,-0.0189,0.5474,-0.5001,0.5112,-0.5035,51.0662
10,5.9257,0.4511,-0.9989,0.0469,0.3127,-0.0333,0.6909,-0.6122,0.6332,-0.618,51.005
10.5,5.699,0.4336,-0.9994,0.0342,0.3795,-0.0733,0.8077,-0.7428,0.7629,-0.7248,51.0662
11,5.5894,0.4338,-0.9997,0.0226,0.4387,-0.0289,0.8617,-0.8912,0.8698,-0.8698,51.0356
11.5,5.3036,0.4282,-0.9999,0.0156,0.499,0.0822,0.8581,-0.9818,0.9232,-0.9766,51.1121
12,5.0384,0.4138,-0.9992,0.0399,0.5088,0.2056,0.8923,-0.9476,0.8316,-0.9766,51.005
12.5,4.7814,0.3823,-0.9965,0.0834,0.4987,0.0478,0.9395,-0.9005,0.8926,-0.946,51.005
13,4.4878,0.3269,-0.9974,0.0723,0.4942,-0.2022,0.9866,-0.8533,0.9842,-0.8469,50.9284
13.5,4.3489,0.3112,-0.999,0.0441,0.5026,-0.3544,1.0029,-0.8371,1.0529,-0.8087,50.9897
14,4.0933,0.311,0.9996,0.03,0.4998,-0.2878,0.9556,-0.8844,0.9995,-0.8163,51.0203
14.5,3.8243,0.3276,0.9948,0.1023,0.4953,-0.0378,0.9086,-0.9314,0.9232,-0.9003,50.9897
15,3.5465,0.3861,0.9937,0.1121,0.4971,0.2067,0.8614,-0.9785,0.8469,-0.9995,50.9897
15.5,3.2598,0.4404,0.9988,0.0489,0.5014,0.34,0.8143,-1.0257,0.7782,-1.0529,50.9591
16,3.105,0.4378,-1,0.0029,0.5028,0.4511,0.7852,-1.0548,0.7553,-1.091,51.0356
16.5,2.8451,0.3931,-0.9929,0.1189,0.5016,0.3978,0.8312,-1.0087,0.7858,-1.0681,51.0203
17,2.6237,0.2593,-0.9753,0.2211,0.498,0.1667,0.8784,-0.9616,0.8392,-0.9689,51.1274
17.5,2.3355,0.1203,-0.9674,0.2532,0.4955,-0.0444,0.9159,-0.9241,0.9384,-0.9232,51.0203
18,2.2021,0.0402,-0.9698,0.2438,0.4999,-0.0722,0.8716,-0.9684,0.9384,-0.9232,50.8213
18.5,1.9183,-0.0895,-0.976,0.2179,0.5025,0.1722,0.8244,-1.0155,0.8545,-0.9995,51.005
19,1.664,-0.2399,-0.9571,0.2899,0.5032,0.3922,0.6392,-0.9246,0.7782,-1.0757,51.005
19.5,1.5382,-0.3346,-0.9383,0.3459,0.4098,0.4622,0.1334,-0.5106,0.3433,-0.6714,51.005
20,1.3931,-0.4901,-0.8931,0.4498,0.1429,0.3567,-0.0872,-0.2712,-0.0839,-0.1755,51.0662
20.5,1.3684,-0.528,-0.835,0.5502,0.029,0.4589,0.0097,-0.2737,-0.0534,-0.2823,51.0203
21,1.3694,-0.5401,-0.7948,0.6069,0.0564,0.3367,0.1125,-0.2822,0.0076,-0.2594,50.9591
21.5,1.3694,-0.5762,-0.7204,0.6935,0.0799,0.3111,0.1922,-0.2676,0.0458,-0.267,51.0203
22,1.374,-0.604,-0.6867,0.727,0.1058,0.1156,0.2575,-0.2892,0.2136,-0.2899,50.9897
22.5,1.374,-0.604,-0.6867,0.727,0.1652,0.0267,0.3629,-0.3794,0.3586,-0.3738,51.0203
23,1.386,-0.7142,-0.6623,0.7493,0.2247,-0.0444,0.4976,-0.4919,0.4654,-0.4578,51.0356
23.5,1.3994,-0.8181,-0.6673,0.7448,0.2832,-0.0678,0.571,-0.6108,0.6027,-0.5493,50.9897
24,1.4126,-1.0443,-0.6887,0.725,0.3461,0.0189,0.647,-0.766,0.6866,-0.6943,51.0203
24.5,1.4176,-1.1486,-0.6863,0.7273,0.4043,0.2478,0.6531,-0.8665,0.7172,-0.8926,50.9897
