Time(s),Axis0_Ref,Axis0_Real,Axis0_Vbus,Axis1_Ref,Axis1_Real,Axis1_Vbus,Axis0_Pos_gain,Axis0_vel_gain,Axis0_vel_integrator_gain,Axis1_Pos_gain,Axis1_vel_gain,Axis1_vel_integrator_gain
0.25,0.0000,0.0000,51.4795,0.0000,0.0000,51.4795,20.000000,6.000000,10.000000,20.000000,6.000000,10.000000
0.30,0.0000,0.0000,51.4795,0.0000,0.0000,51.4642,20.000000,6.000000,10.000000,20.000000,6.000000,10.000000
0.35,0.0000,0.0000,51.4795,0.0000,-0.0153,51.4948,20.000000,6.000000,10.000000,20.000000,6.000000,10.000000
0.40,0.0000,0.0000,51.4795,0.0000,0.0229,51.4795,20.000000,6.000000,10.000000,20.000000,6.000000,10.000000
0.50,0.0000,0.0000,51.4795,0.0000,0.0000,51.4642,20.000000,6.000000,10.000000,20.000000,6.000000,10.000000
0.55,0.0000,0.0000,51.4795,0.0000,0.0000,51.4795,20.000000,6.000000,10.000000,20.000000,6.000000,10.000000
0.60,0.0000,0.0000,51.5101,0.0000,0.0000,51.4795,20.000000,6.000000,10.000000,20.000000,6.000000,10.000000
0.65,0.0000,0.0000,51.4642,0.0000,0.0000,51.4795,20.000000,6.000000,10.000000,20.000000,6.000000,10.000000
0.70,0.0000,0.0000,51.5561,0.0000,0.0000,51.4183,20.000000,6.000000,10.000000,20.000000,6.000000,10.000000
0.75,0.0000,0.0000,51.4795,0.0000,0.0000,51.4948,20.000000,6.000000,10.000000,20.000000,6.000000,10.000000
0.80,0.0000,0.0000,51.4948,0.0000,0.0000,51.4642,20.000000,6.000000,10.000000,20.000000,6.000000,10.000000
0.85,0.0000,-0.0076,51.5407,0.0000,0.0000,51.4795,20.000000,6.000000,10.000000,20.000000,6.000000,10.000000
0.90,0.0000,0.0000,51.4489,0.0000,0.0000,51.4795,20.000000,6.000000,10.000000,20.000000,6.000000,10.000000
0.95,0.0000,0.0000,51.4489,0.0000,0.0229,51.4795,20.000000,6.000000,10.000000,20.000000,6.000000,10.000000
1.05,0.0000,0.0229,51.4795,0.0000,0.0000,51.4489,20.000000,6.000000,10.000000,20.000000,6.000000,10.000000
1.10,0.0000,0.0000,51.4489,0.0000,0.0000,51.4795,20.000000,6.000000,10.000000,20.000000,6.000000,10.000000
1.15,0.0000,0.0000,51.4795,0.0000,-0.0076,51.4795,20.000000,6.000000,10.000000,20.000000,6.000000,10.000000
1.25,0.0000,0.0000,51.4795,0.0000,0.0000,51.4795,20.000000,6.000000,10.000000,20.000000,6.000000,10.000000
1.30,0.0000,0.0153,51.4642,0.0000,0.0229,51.4948,20.000000,6.000000,10.000000,20.000000,6.000000,10.000000
